StarSpctr;OtherPlanets;Position;SemiMajorAxis;OrbitalExc;OrbitalInc;OrbitalPeriod;AxisIncl;Moons;Diameter;Density;Magnetosphere;AtmPressure;Albedo;DayPeriod;Tmin;Tmax;PH2O;PHe;PCH4;PH2;PN2;PO2;PAr;PCO2;PSO2;PK;Type
5;2;1;1.0592;0.0008;1.604;1531.24;61.88;0;3500;7.37;7;0.04;0.26;1.425;-64;148;0;0;0;0;0;0.01;0;0;0;0.02;r
5;0;3;3.0965;0.0077;0.725;3903.77;24.6;1;11753;5;72.33;0.75;0.22;0.395;-140;-106;0;0;0;0;2;0;0.38;97.62;0;0;d
3;0;4;4.5591;0.0002;2.555;6117.62;6.8;1;16136;5.01;87.06;1.22;0.22;0.517;-178;-67;0;0;0;0;1.6;1.4;0;97;0;0;d
9;9;9;7.2348;0.0391;1.806;68668.43;63.9;0;3767;7.47;8;0.03;0.4;1.455;-159;216;0;0;0;0;0;0.01;0;0;0;0;r
3;0;8;9.6113;0.1264;1.874;143455.49;22.2;0;3500;5.57;2;0.04;0.51;0.799;-210;66;0;0;0;0;0;0;0;0;0;0.01;r
3;0;2;2.3474;0.0034;2.995;1491.68;16.34;0;17600;3.4;79.51;1.46;0.39;1369.362;-44;56;1.5;0;0;0;83;12;2;1.5;0;0;t
7;6;2;1.6696;0.0019;1.8;194.24;44.78;8;75247;2.73;287.59;2.81;0.45;193.075;-155;-3;0;18;2;80;0;0;0;0;0;0;g
5;1;10;9.9734;0.146;1.465;158012.48;10.99;2;3500;4.29;12;0.08;0.32;1.394;-225;113;0;0;0;0;0;0;0;0;0;0;r
7;1;6;5.4356;0.0374;2.493;27321.08;35.07;0;5334;6.58;44.18;0.18;0.37;0.552;-160;-125;0;0.36;0;2.3;68.52;22.2;1.62;5;0;0;i
8;0;9;7.543;0.0274;1.778;6779.87;39.15;3;40970;3.99;226.52;3.15;0.31;0.215;-210;376;0.3;10.7;0.4;88.5;0;0;0;0;0.1;0;g
8;2;9;6.6048;0.081;1.353;64397.55;9.14;0;3500;4.03;2;0.1;0.24;0.959;-137;225;0;0;0;0;0;0.01;0;0;0;0;r
1;3;9;11.7532;0.0393;0.033;45568.01;14.62;1;14981;8.67;170.76;1.96;0.39;0.608;-122;-105;0;3;0;3.1;51.4;31.9;6.7;3.9;0;0;i
4;2;8;9.3794;0.0207;0.001;6470.69;43.84;2;65920;3.58;316.91;3.19;0.45;0.14;-176;-61;0.3;14.4;0.9;84.4;0;0;0;0;0;0;g
5;0;4;3.8308;0.0115;0.21;843.97;49.58;2;83524;3.49;378.95;4.45;0.4;0.621;-172;238;0.1;4.2;0.5;91.2;0;0;0;0;4;0;g
7;3;7;5.4655;0.0653;0.55;8259.73;16.86;1;18392;7.89;194.84;3.19;0.36;1.237;-85;-50;0;0.9;0;14.1;44.9;20.9;0.4;18.8;0;0;i
7;6;9;8.1383;0.0805;1.364;66628.22;11.1;0;5131;4.92;10;0.05;0.35;2.197;-143;105;0;0;0;0;0;0.01;0;0;0;0.01;r
4;3;10;10.6317;0.0368;0.03;29213.31;58.7;5;19074;3.38;80.13;3.95;0.4;0.667;-152;375;0.1;7;1;88.1;0;0;0;0;3.8;0;g
4;2;9;9.3926;0.0865;1.369;131016.3;12.61;0;3500;5.15;2;0.08;0.3;0.869;-222;36;0;0;0;0;0;0;0;0;0;0.01;r
4;1;1;1.1373;0.001;2.499;1752.51;30.57;0;3500;5.33;7;0.06;0.16;1708.697;-94;63;0;0;0;0;0;0.01;0;0;0;0.02;r
4;3;9;9.5321;0.0421;1.889;14282.74;48.22;8;31534;3.6;149.2;4.5;0.29;0.629;-194;470;0.1;5.6;1.7;91.4;0;0;0;0;1.2;0;g
4;2;5;5.5642;0.0173;3.408;11851.01;37.93;0;12623;7.61;131.66;1.35;0.35;1.242;-228;-203;0;0.8;0;15.9;41.8;19.1;9.2;13.2;0;0;i
4;1;9;9.5794;0.1468;1.464;145912.1;1.32;2;3500;3.55;11;0.1;0.18;2.29;-208;13;0;0;0;0;0;0;0;0;0;0;r
8;3;1;0.8794;0.001;1.026;856.81;43.54;0;4221;7.24;5;0.02;0.28;734.286;-52;156;0;0;0;0;0;0;0;0;0;0.01;r
7;1;10;8.3889;0.1863;1.36;117330.59;17.32;0;3500;5.63;12;0.05;0.48;0.321;-268;85;0;0;0;0;0;0;0;0;0;0.02;r
6;5;7;6.8028;0.0291;0.218;2522.47;36.11;8;89724;2.24;284.25;1.98;0.36;1.005;-216;-20;0.1;21.4;1.2;77.3;0;0;0;0;0;0;g
8;3;10;7.7264;0.1004;1.954;90026.52;42.55;0;3500;3.16;9;0.1;0.46;3.295;-209;82;0;0;0;0;0;0;0;0;0;0.02;r
8;10;9;6.7207;0.0582;1.446;65063.27;41.4;0;3500;2.9;10;0.04;0.68;1.225;-144;138;0;0;0;0;0;0.01;0;0;0;0.01;r
4;3;7;7.9917;0.032;1.928;10688.5;43.8;4;29313;3.82;123.17;2.5;0.33;0.134;-159;272;0;11.2;1.4;84.6;0;0;0;0;2.8;0;g
4;1;3;3.2941;0.0133;3.43;3516.61;33.89;2;14849;7.5;144.86;1.71;0.38;1.059;-159;-135;0;1.3;0;30.6;58.1;4.4;2.2;3.4;0;0;i
2;0;1;1.1977;0.002;1.257;1949.98;1.34;0;3500;4.13;10;0.04;0.25;1893.431;-23;155;0;0;0;0;0;0.01;0;0;0;0;r
5;6;1;1.0182;0.001;0.954;1410.87;15.21;0;3510;4.61;7;0.06;0.26;1496.933;-196;-15;0;0;0;0;0;0.01;0;0;0;0;r
5;4;7;7.1884;0.0154;3.63;16626.37;3.65;2;14987;5;92.23;1.26;0.31;1.665;-199;-29;0;0;0;0;0.7;0.5;0;98.8;0;0;d
8;7;6;4.656;0.0414;2.495;7731.52;26.98;4;13930;7.98;124.38;1.39;0.61;1.352;-89;58;2.4;0;1.6;0;4;0;1.7;90.3;0;0;d
8;1;4;3.3827;0.0186;1.116;11070.26;24.2;2;5001;4.11;27.88;1.15;0.38;2.298;-4;19;0.6;0;0;0;58;39;1.2;1.2;0;0;t
3;0;1;1.1545;0.0002;5;690.53;30.22;1;9167;7.87;80.72;0.67;0.26;0.992;-36;12;0.5;0;0;0;4.5;0;0;95;0;0;d
4;1;8;8.6793;0.0642;1.333;109207.36;31.17;0;3500;6.06;1;0.01;0.36;1.621;-245;16;0;0;0;0;0;0;0;0;0;0.01;r
6;5;3;2.7031;0.0021;2.478;3926.85;36.8;0;8829;5.55;60.99;0.46;0.19;1.929;-25;31;0.8;0;0;0;1.2;0;0;98;0;0;d
4;2;8;8.992;0.0254;0.02;9364.92;86.26;2;42069;2.85;171.28;3.31;0.36;0.925;-222;102;0.3;9.8;0.2;87.6;0;0;0;0;2.1;0;g
6;5;2;2.004;0.004;1.24;3497.29;65.3;0;5498;7.92;14;0.06;0.31;0.199;-73;140;0;0;0;0;0;0;0;0;0;0.02;r
7;5;1;0.7851;0.0012;1.205;661.12;77.2;0;4439;6.9;4;0.04;0.33;710.043;-213;-65;0;0;0;0;0;0;0;0;0;0;r
5;2;3;3.0563;0.0051;2.985;2086.89;4.74;4;21352;7.51;213.06;3.29;0.35;1.109;-120;-67;0;3;0;5.7;53;29.3;5.6;3.4;0;0;i
2;1;9;11.215;0.1295;0.196;196021.71;10.08;0;3500;5.32;4;0.05;0.38;0.69;-244;-7;0;0;0;0;0;0;0;0;0;0;r
4;2;4;4.7544;0.0109;0.473;6976.07;25.42;2;15544;4.9;90.55;1.1;0.46;0.51;-200;-24;0;0;0;0;4.5;0.8;2.8;91.9;0;0;d
6;5;3;2.7293;0.0086;1.288;10196.4;2.31;0;3500;7.03;9;0.08;0.33;0.987;-144;18;0;0;0;0;0;0.02;0;0;0;0.02;r
4;3;9;10.1661;0.0819;1.365;152715.92;24.45;0;3500;7.87;11;0.01;0.25;0.261;-198;113;0;0;0;0;0;0;0;0;0;0.02;r
9;2;6;4.1641;0.0342;2.543;7545.15;27.36;0;11297;6.26;83.08;0.68;0.19;0.51;-89;-54;0;0;0;0;4.3;0.4;0;95.3;0;0;d
2;2;10;11.769;0;1.364;187910.74;11.45;0;3500;3.3;6;0.08;0.77;1.382;-122;254;0;0;0;0;0;0;0;0;0;0.01;r
7;10;10;8.8715;0.066;2.375;26929.83;9.19;3;14857;9.91;187.39;2.06;0.28;0.336;-175;-128;0;2.8;0;17.5;52.2;17.5;0.6;9.4;0;0;i
4;0;1;1.1217;0.0012;1.253;1338.14;16.19;0;4470;3.78;2;0.01;0.18;1304.687;-194;-17;0;0;0;0;0;0.01;0;0;0;0;r
7;1;8;6.4716;0.0108;0.892;6390.45;43.09;3;31444;1.55;61.97;2.23;0.44;0.623;-212;-38;0.1;7.2;1.4;91.3;0;0;0;0;0;0;g
8;6;8;6.0888;0.0074;0;50670.44;16.64;0;3500;7.16;5;0.02;0.35;1.097;-251;-36;0;0;0;0;0;0;0;0;0;0;r
3;0;6;6.8758;0.028;2.875;15433.56;21.81;4;14964;6.98;146.08;1.58;0.36;0.682;-48;5;0;2.6;0;28.8;42.2;6.2;9.7;10.5;0;0;i
3;0;4;4.3353;0.0003;0.012;6951.9;17.49;0;12841;5.89;95.2;0.84;0.27;0.636;-59;19;1.8;0;0;0;73;21;2.5;1.7;0;0;t
10;10;9;5.9131;0.0109;1.484;2734.09;80.16;4;61392;1.06;91.11;0.88;0.4;3.725;-160;-96;0;6.5;0.5;93;0;0;0;0;0;0;g
9;3;10;5.7391;0.0416;0.053;895;79.42;5;184804;3.23;775.99;2.37;0.38;0.825;-207;-21;0;16.7;1.1;82.2;0;0;0;0;0;0;g
3;0;8;8.8432;0.0079;0.035;5745.08;78.88;2;65148;3.87;324.16;4.13;0.44;0.622;-152;148;0.1;5.8;1.4;91.5;0;0;0;0;1.2;0;g
6;2;3;2.6198;0.0068;0.769;2296.96;17.33;1;14285;3.61;67.8;1.48;0.42;3.084;-8;33;1.6;0;0;0;76.9;20;1.4;0.1;0;0;t
7;9;2;1.8175;0.004;0.422;4454.4;32.09;0;3500;5.66;11;0.06;0.24;4334.131;-74;136;0;0;0;0;0;0.01;0;0;0;0;r
3;0;5;5.8512;0.0019;0.571;10890.15;3.06;4;14956;1.8;31.15;1.42;0.34;1.25;-160;-80;0.3;7.8;0.4;91.5;0;0;0;0;0;0;g
5;6;8;7.5974;0.0668;2.61;83913.37;63.94;0;3500;5.49;8;0.09;0.5;0.905;-179;136;0;0;0;0;0;0;0;0;0;0.01;r
2;1;2;2.4867;0.0023;2.61;1962.74;9.76;0;14994;4.85;87.47;1;0.3;1.643;-121;-12;0;0;0;0;4.8;0.2;0;95;0;0;d
4;3;4;4.5486;0.008;2.643;6114.35;37.1;1;16165;4.97;93.26;1.12;0.38;2.269;-137;-49;0;0;0;0;0.9;1.1;0;98;0;0;d
4;1;7;7.5235;0.0454;2.55;18780.12;17.75;0;14991;5.13;96.8;1.07;0.2;0.687;-129;-43;0;0;0;0;0.3;1.5;1.8;96.4;0;0;d
4;1;8;9.1255;0.0513;2.41;44269.5;19.05;1;9414;5.13;60.79;0.41;0.17;0.503;-67;-8;0;0;0;0;0.5;0;0;99.5;0;0;d
4;1;1;1.0565;0.0001;0.23;426.08;11.63;1;12411;6.54;85.14;0.76;0.15;464.853;-156;-13;0;0;0;0;4.8;0.9;0;94.3;0;0;d
7;2;7;5.821;0.0491;1.316;48342.14;18.08;0;3500;5.51;3;0.05;0.5;1.5;-190;139;0;0;0;0;0;0;0;0;0;0;r
1;1;1;1.3293;0.0014;0.685;769.21;36.56;1;10923;2.48;32.2;0.29;0.18;653.829;-19;122;0.9;0;0;0;0.5;0;0.64;97.96;0;0;d
4;0;4;4.5447;0.0161;0.079;27959.77;7;2;3565;4.51;6;0.05;0.52;0.702;-225;28;0;0;0;0;0;0;0;0;0;0.01;r
7;4;9;8.3964;0.0764;1.64;100575.98;5.14;0;3604;3.82;11;0.02;0.42;2.338;-245;-32;0;0;0;0;0;0;0;0;0;0;r
1;4;6;7.8604;0.0321;2.163;20193.36;39.08;0;14996;7.1;144.44;1.82;0.27;1.183;-135;-85;0;2.9;0;33.4;56.2;1.6;2.8;3.1;0;0;i
3;0;6;6.9989;0.0239;0.098;16549.95;2.33;5;14398;4.83;87.54;0.92;0.27;1.181;-78;31;1;0;0;0;3.1;0;1.84;94.06;0;0;d
7;6;4;3.5889;0.0222;0.91;4189.3;21.2;0;15009;7.52;146.81;1.64;0.38;0.701;-126;-79;0;1.5;0;28.4;43;6.6;5.3;15.2;0;0;i
4;3;8;8.2877;0.0714;2.828;23705.11;38.5;2;14821;7.49;145.94;1.72;0.33;1.257;-64;-49;0;2.3;0;25.1;50.1;9.9;6.3;6.3;0;0;i
6;3;6;5.6927;0.0362;1.298;45317.99;82.64;0;3523;5.32;8;0.06;0.23;0.714;-162;149;0;0;0;0;0;0.02;0;0;0;0.01;r
7;1;5;4.4799;0.0241;1.253;27117.01;22.44;0;3601;6.4;12;0.03;0.19;1.462;-96;133;0;0;0;0;0;0.01;0;0;0;0.01;r
3;0;4;4.7901;0.011;1.534;445.21;51.42;7;247434;3.29;1139.68;2.9;0.36;0.672;-154;-59;0.1;22.5;0.2;77.2;0;0;0;0;0;0;g
10;10;6;2.5982;0.0014;1.183;9091.35;68.88;0;3521;6.44;7;0.01;0.11;0.617;-195;95;0;0;0;0;0;0;0;0;0;0;r
7;2;5;4.5304;0.02;2.498;6657.05;42.24;3;14927;4.98;82.13;1;0.24;2.148;-134;-72;0;0;0;0;2.5;0;0;97.5;0;0;d
6;0;4;3.8471;0.0097;0.912;4595.47;25.92;3;15442;4.17;90.06;0.98;0.32;1.923;-41;37;1.5;0;0;0;70.8;26;0.9;0.8;0;0;t
3;0;2;2.2712;0.0058;1.571;1644.48;4.95;1;14981;3.58;69.01;1.13;0.38;1.125;-49;42;1.6;0;0;0;55.6;39;2.7;1.1;0;0;t
4;3;6;6.5;0.0122;0.15;4881.16;27.48;5;41684;1.65;96.29;1.15;0.34;2.114;-169;-65;0.3;11.1;0.9;87.7;0;0;0;0;0;0;g
5;5;8;7.9609;0.0188;0.062;2352.97;46.12;2;130342;4;700.12;3.33;0.42;0.563;-167;-47;0.2;14.5;1.9;83.4;0;0;0;0;0;0;g
3;0;1;1.1655;0.0004;1.795;682.74;32.54;3;9451;5.01;50.33;0.4;0.18;1.945;-65;35;1.6;0;0;0;0.5;0;0;97.9;0;0;d
7;0;1;0.8234;0.0012;1.85;185.9;18.46;5;17338;5.04;109.99;1.44;0.39;181.438;-167;-19;0;0;0;0;3.7;0.9;2.4;93;0;0;d
5;3;8;8.1312;0.0756;2.518;21441.85;7.9;1;15838;4.53;78.27;0.9;0.17;2.508;-233;-167;0;0;0;0;0.9;1.1;0;98;0;0;d
5;3;10;9.9551;0.1945;1.712;133928.69;69.74;1;4362;4.62;12;0.09;0.63;2.267;-259;55;0;0;0;0;0;0;0;0;0;0;r
5;3;7;7.3072;0.0501;0.78;59486.46;69.42;1;4486;6.39;14;0.08;0.46;1.119;-141;163;0;0;0;0;0;0.01;0;0;0;0.01;r
2;0;4;5.5908;0.0169;2.505;10121.86;10.46;4;14915;3.85;60.23;0.75;0.3;1.554;-59;63;0.1;0;0;0;0.7;1.1;0;98.1;0;0;d
6;0;7;7.1499;0.046;2.818;16967.18;42.95;2;14996;5.07;79.75;0.9;0.37;2.076;-191;-54;0;0;0;0;5;0.8;0;94.2;0;0;d
5;4;7;7.1168;0.0165;1.99;16699.32;6.57;0;14643;6.1;107.44;1.17;0.23;1.542;-130;-43;0;0;0;0;2;1.2;0;96.8;0;0;d
9;7;10;6.6939;0.0976;1.916;67343.54;54.04;0;3500;5.74;2;0;0.72;1.455;-195;58;0;0;0;0;0;0;0;0;0;0.02;r
7;7;6;5.1988;0.0206;1.103;8053.63;86.18;2;16268;3.6;62.75;2.46;0.39;0.817;-189;14;0;12.4;0.9;85.5;0;0;0;0;1.2;0;g
6;2;9;7.7905;0.086;2.721;90094.49;72.7;0;3500;7.92;1;0.02;0.29;0.556;-178;184;0;0;0;0;0;0.01;0;0;0;0.01;r
4;3;4;4.2296;0.0055;0.01;1680.38;61.74;3;50830;2.45;176.13;2.75;0.44;0.913;-197;-60;0.1;17.6;1.6;80.7;0;0;0;0;0;0;g
6;0;2;1.7433;0.004;1.273;4139.52;20.25;2;3500;7.4;11;0.04;0.43;4532.774;-74;219;0;0;0;0;0;0.01;0;0;0;0.01;r
5;4;2;2.0032;0.0008;0.006;1168.9;56.06;4;16258;2.38;43.67;2.59;0.38;1.674;-162;141;0.2;12;0.6;87.1;0;0;0;0;0.1;0;g
3;0;4;4.6836;0.0008;2.503;6982.49;12.16;5;14929;4.65;74.76;0.83;0.29;1.662;-176;-13;0;0;0;0;3.5;1.3;0;95.2;0;0;d
3;0;5;5.8598;0.0497;2.629;49019.67;42.94;2;3500;6.13;11;0.05;0.46;0.354;-206;-37;0;0;0;0;0;0;0;0;0;0;r
4;0;9;10.2684;0.043;0.857;149471.76;2.13;0;3500;6.47;7;0.08;0.72;0.781;-209;116;0;0;0;0;0;0;0;0;0;0.02;r
3;0;3;3.3657;0.0051;2.69;2928.21;40.94;1;18463;5.18;105.67;1.6;0.53;1.123;-35;230;0.7;0;2.3;0;1.2;0;0;95.8;0;0;d
3;0;4;4.6989;0.0005;0.104;321.54;17.87;1;326218;2.19;918.54;2.37;0.37;0.229;-166;58;0.1;6.3;0.5;91.2;0;0;0;0;1.9;0;g
8;4;10;7.3628;0.0026;1.251;73716.44;2.35;1;3500;7.72;4;0.02;0.77;0.572;-223;154;0;0;0;0;0;0;0;0;0;0.01;r
7;6;5;4.1259;0.0055;4.588;6200.28;43.7;3;13098;2.12;30.68;0.35;0.17;3.868;-60;4;1.8;0;0;0;2.1;0;0.14;95.96;0;0;d
8;5;4;3.262;0.0191;2.46;3487.36;29.04;4;14770;7.74;153.49;1.75;0.29;0.448;-36;-3;0;2.7;0;13.2;39;21.8;6.1;17.2;0;0;i
10;9;6;2.7741;0.038;0.663;4971.36;24.04;3;7636;7.97;63.84;0.44;0.18;1.394;-43;-9;0;0;0;0;3.3;0;0.79;95.91;0;0;d
4;2;8;8.8166;0.0687;1.346;70517.62;33.63;0;5620;3.79;16;0.03;0.23;2.499;-102;222;0;0;0;0;0;0;0;0;0;0.01;r
9;7;8;6.4073;0.0864;4.41;14445.03;15.14;1;14772;7.5;151.85;1.84;0.27;1.275;-199;-154;0;0.8;0;18.4;51.7;16.6;5.8;6.7;0;0;i
5;1;4;3.8205;0.0148;1.27;17234.62;38.4;1;4082;5;12;0.09;0.07;0.798;-122;150;0;0;0;0;0;0.01;0;0;0;0.01;r
5;3;8;8.3546;0.0255;1.628;2124.72;55.3;3;160067;1.28;292.69;1.02;0.33;2.148;-181;-128;0.2;14.4;0.3;85.1;0;0;0;0;0;0;g
3;0;1;1.2251;0.0007;1.238;2037.57;16.44;0;3500;3.26;1;0.01;0.31;1.935;-197;-56;0;0;0;0;0;0.01;0;0;0;0;r
3;0;10;12.0085;0.0174;1.293;199097.73;39.59;0;3500;3.89;2;0.04;0.55;2.346;-260;9;0;0;0;0;0;0;0;0;0;0.01;r
5;1;4;3.9781;0.0178;1.339;3731.73;34.14;1;20501;4.34;124.44;1.68;0.58;1.203;-44;37;1.9;0;0;0;68.8;26;1.6;1.7;0;0;t
4;1;8;8.7763;0.0183;2.508;31040.17;40.89;1;12002;5;64.63;0.65;0.22;1.254;-130;-92;0;0;0;0;0.2;0.6;1.82;97.38;0;0;d
8;9;8;6.9162;0.0272;0.083;22953.67;22.1;1;10181;4.3;52.66;0.47;0.21;1.09;-186;-159;0;0;0;0;2;0.3;0;97.7;0;0;d
3;0;2;2.5304;0.0051;2.502;8731.01;30.8;0;3500;3.24;9;0.01;0.08;1.991;-167;-23;0;0;0;0;0;0.01;0;0;0;0;r
6;6;10;9.4069;0.0967;0.193;90351.81;81.2;2;5148;7.37;13;0.06;0.43;0.848;-266;-59;0;0;0;0;0;0;0;0;0;0;r
4;0;5;5.3502;0.0262;2.498;9314.23;13.7;2;14985;7.5;144.61;1.69;0.34;0.321;-75;-31;0;2.4;0;7.3;44.9;27.7;1.5;16.2;0;0;i
9;3;3;2.1942;0.0142;0.051;6625.66;73.88;1;3500;7.6;9;0.02;0.23;0.578;-190;-28;0;0;0;0;0;0.01;0;0;0;0;r
4;2;8;8.867;0.0482;2.1;23934;31.22;0;16388;5;103.14;1.21;0.21;0.63;-71;64;0.7;0;0;0;2.8;0;2.1;94.4;0;0;d
8;7;6;4.7044;0.0322;0.602;18634.63;15.44;1;5825;5.61;8;0.02;0.11;0.605;-108;195;0;0;0;0;0;0.01;0;0;0;0.01;r
3;0;4;4.6907;0.0022;1.95;2064.77;3.82;3;50710;3.27;227.41;2.74;0.45;1.215;-176;29;0.3;6.2;1.1;91.8;0;0;0;0;0.6;0;g
2;1;9;10.7432;0.08;1.376;126444.51;88.66;1;4711;3.78;14;0.09;0.31;1.729;-227;20;0;0;0;0;0;0;0;0;0;0.01;r
6;7;8;6.8877;0.0467;2.685;15951.33;39.67;3;14846;8.3;167.17;2.21;0.42;1.193;-214;-172;0;1.8;0;23.5;45.6;11.5;2.4;15.2;0;0;i
1;3;5;7.4074;0.0267;2.49;18047.41;25.27;2;14842;5;93.41;1.19;0.18;1.098;-109;-8;0;0;0;0;1.6;1.5;0;96.9;0;0;d
8;9;1;0.8743;0.0015;1.232;1082.58;34.47;0;3500;6.71;6;0.05;0.35;1057.681;-205;-69;0;0;0;0;0;0;0;0;0;0;r
6;3;4;3.6694;0.0137;0.03;4141.05;21.26;4;15657;4.12;85.71;0.92;0.25;2.658;-22;15;1.5;0;0;0;69.2;27;2;0.3;0;0;t
2;0;6;7.2081;0.0042;4.785;17379.44;39.12;0;14255;5;86.73;1.01;0.16;1.703;-238;-101;0;0;0;0;0.4;0;0.5;99.1;0;0;d
4;1;5;5.1797;0.0124;4.988;8703.3;20.72;1;14821;5;93.28;1.16;0.19;1.504;-139;31;2.4;0;0;0;1.7;0;1.9;94;0;0;d
3;0;9;9.8768;0.0809;1.492;143990.98;2.43;1;3500;6.01;9;0.01;0.76;1.749;-164;141;0;0;0;0;0;0;0;0;0;0;r
5;3;4;4.0257;0.002;1.916;1341.26;20.56;5;58050;0.71;58.29;0.84;0.4;3.163;-191;-144;0.2;8;1.4;90.4;0;0;0;0;0;0;g
9;7;2;1.4625;0.0035;2.578;1694.19;33.57;0;5998;5.21;38.9;0.18;0.16;1850.055;-57;0;1;0;0;0;2.9;1;0.14;94.96;0;0;d
1;2;5;6.8928;0.0159;4.768;14194.27;27.05;0;16150;8.44;177.29;2.29;0.32;0.843;-26;5;0;2.2;0;24.3;51.5;10.7;0.4;10.9;0;0;i
9;1;4;2.7794;0.0032;1.035;2478.5;6.54;2;14847;8.5;174.74;2.06;0.37;0.702;-56;-26;0;2;0;7.9;49.1;27.1;3.3;10.6;0;0;i
5;3;10;10.1112;0.1587;2.555;128497.43;25.59;1;4490;6.72;7;0.04;0.67;0.45;-188;33;0;0;0;0;0;0;0;0;0;0.02;r
3;0;9;10.7908;0.0763;2.633;40525.6;14.61;3;14770;7.41;140.83;1.83;0.28;1.148;-186;-134;0;2.5;0;6.4;51.5;28.6;6.9;4.1;0;0;i
5;2;2;2.1618;0.0006;3.575;1479.75;14.77;3;15005;3.73;64.19;0.87;0.25;0.618;-64;24;1.4;0;0;0;3.7;0;0;94.9;0;0;d
9;8;1;0.66;0.001;1.316;627.55;48.3;0;3500;3.93;9;0.02;0.35;619.392;-213;-31;0;0;0;0;0;0;0;0;0;0;r
4;1;6;6.988;0.002;1.456;3295.02;2.36;7;70510;0.78;76.21;0.93;0.31;5.036;-149;-67;0.3;4.6;1;94.1;0;0;0;0;0;0;g
2;1;6;8.1001;0.0253;1.733;28153.52;33.79;0;11353;5.01;60.46;0.54;0.19;0.65;-162;-94;0;0;0;0;4.3;0.2;0;95.5;0;0;d
10;6;4;2.5303;0.003;4.345;2318.72;4.7;2;13173;6.29;92.71;0.93;0.31;1.2;-167;-54;0;0;0;0;3;0.2;1.95;94.85;0;0;d
6;2;8;7.8246;0.0012;0.095;7734.52;30.02;6;37631;1.37;73.65;1.29;0.43;1.622;-180;-126;0;11.9;2;86.1;0;0;0;0;0;0;g
4;1;1;1.08;0.0004;2.508;333.47;44.28;0;16615;4.91;89;1.16;0.24;286.117;-106;-25;0;0;0;0;1.2;1.5;0;97.3;0;0;d
10;10;10;6.3737;0.0434;1.201;44984.82;31.35;0;4483;2.92;11;0.03;0.12;0.819;-266;-17;0;0;0;0;0;0;0;0;0;0;r
5;4;5;4.9068;0.0074;2.086;32404.76;42.23;0;3556;4.53;9;0.02;0.16;1.378;-218;-23;0;0;0;0;0;0;0;0;0;0;r
4;0;3;3.3529;0.008;2.223;3589.49;15.08;4;14991;5;92.25;1.14;0.49;1.861;-73;95;0.2;0;0;0;1.8;0;1.4;96.6;0;0;d
2;1;9;11.5595;0.081;0.22;197259.05;34.97;2;3500;6.6;12;0.06;0.47;0.907;-141;240;0;0;0;0;0;0;0;0;0;0.02;r
8;10;3;2.259;0.0062;0.023;338.45;1.1;3;72040;3.94;368.99;3.44;0.37;0.305;-178;9;0.2;12.4;0.9;84.7;0;0;0;0;1.8;0;g
7;2;10;8.1649;0.0164;1.706;17699.32;36.78;3;18191;3.77;75.44;3.91;0.29;0.726;-224;117;0.1;8.4;0.1;89.5;0;0;0;0;1.9;0;g
1;1;6;8.2371;0.0359;1.299;95475.54;5.61;1;3500;3.41;9;0.08;0.54;0.961;-90;216;0;0;0;0;0;0;0;0;0;0;r
4;0;3;3.3305;0.0042;0.007;298.72;42.01;2;177058;3.93;904.59;4.2;0.39;0.489;-178;158;0.3;10.8;1.7;85.6;0;0;0;0;1.6;0;g
8;2;7;5.8986;0.049;1.287;49632.42;82.7;0;3500;6.86;5;0.09;0.46;0.238;-189;82;0;0;0;0;0;0.01;0;0;0;0.01;r
4;2;1;1.1186;0.0013;4.943;695.85;28.02;2;8674;5.35;52.57;0.35;0.19;1.8;-214;-102;0;0;0;0;0.5;0;0.81;98.69;0;0;d
10;0;1;0.5768;0.0012;2.448;105.37;0.31;4;15010;5.02;90.63;1.01;0.42;113.273;-84;19;1.3;0;0;0;3.4;0;0;95.3;0;0;d
10;3;8;4.9414;0.0411;0.548;7630.28;39.7;1;15846;4.57;81.03;0.99;0.27;0.9;-110;-27;0;0;0;0;2.3;1;0.4;96.3;0;0;d
3;0;2;2.2992;0.0031;2.64;1677.47;33.03;3;15010;7.46;144.08;1.73;0.39;1456.044;-156;-62;0;2.5;0;5;38.7;30;6.4;17.4;0;0;i
7;6;1;0.8134;0.001;1.754;898.48;61.14;0;3500;3.76;5;0.06;0.34;855.353;-93;112;0;0;0;0;0;0.01;0;0;0;0.01;r
9;6;1;0.7227;0.0011;2.508;146.75;9.11;3;16804;7.49;174.27;2.58;0.34;143.081;-152;-95;0;2.8;0;25.1;53.1;9.9;7.7;1.4;0;0;i
5;4;9;8.7923;0.0968;2.683;27207.66;30.71;2;14937;6.54;131.16;1.76;0.25;0.655;-53;-36;0;1.4;0;34;47.8;1;8.9;6.9;0;0;i
6;5;4;3.8612;0.0156;1.824;20396.03;17.22;0;3526;5.34;12;0.06;0.17;1.432;-149;105;0;0;0;0;0;0.01;0;0;0;0.01;r
5;0;1;0.9656;0.0012;2.745;318.31;13.18;4;13925;6.15;98.22;0.99;0.21;316.082;-64;77;1;0;0;0;1.9;1.2;1.19;94.71;0;0;d
5;4;3;2.951;0.0006;2.653;2080.37;31.01;5;19888;9.03;228.57;3.69;0.39;0.362;-131;-56;0;0.7;0;15.1;53.9;19.9;9;1.4;0;0;i
